key,hanzi,pinyin,english,level
今天,今天,jīn tiān,today,HSK1
星期一,星期一,xīng qī yī,Monday,HSK1
是,是,shì,to be,HSK1
爸爸,爸爸,bà ba,dad,HSK1
妈妈,妈妈,mā ma,mom,HSK1
去,去,qù,to go,HSK1
在,在,zài,to be at / in,HSK1
商店,商店,shāng diàn,shop,HSK1
买,买,mǎi,to buy,HSK1
苹果,苹果,píng guǒ,apple,HSK1
和,和,hé,and / with,HSK1
水果,水果,shuǐ guǒ,fruit,HSK1
我,我,wǒ,I / me,HSK1
有,有,yǒu,to have,HSK1
杯子,杯子,bēi zi,cup,HSK1
我们,我们,wǒ men,we / us,HSK1
钱,钱,qián,money,HSK1
叫,叫,jiào,to call,HSK1
给,给,gěi,to / give,HSK1
出租车,出租车,chū zū chē,taxi,HSK1
饭馆,饭馆,fàn guǎn,restaurant,HSK1
里,里,lǐ,inside,HSK1
菜,菜,cài,dish / vegetables,HSK1
米饭,米饭,mǐ fàn,rice,HSK1
吃,吃,chī,to eat,HSK1
喝,喝,hē,to drink,HSK1
水,水,shuǐ,water,HSK1
看见,看见,kàn jiàn,to see,HSK1
朋友,朋友,péng you,friend,HSK1
说,说,shuō,to say / speak,HSK1
你好,你好,nǐ hǎo,hello,HSK1
谢谢,谢谢,xiè xie,thanks,HSK1
都,都,dōu,all,HSK1
很,很,hěn,very,HSK1
高兴,高兴,gāo xìng,happy,HSK1
回家,回家,huí jiā,go home,HSK1
家,家,jiā,home,HSK1
喜欢,喜欢,xǐ huan,to like,HSK1
也,也,yě,also,HSK1
